block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	3091642	963856	37472078	9313052	10250	1201452695	14853	68899	1252387325	99622	34464934	199139	4343	754539	1864564	1883	37389024
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	17834632	487731	159746035	15738498	6764	999554043	7300	66854	1193441857	224534	150698671	1535488	3263	3690459	3510993	582	159663990
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	782136	1930811	8687265	2892974	5635	206094406	6232	54027	220453486	75251	7441299	67674	1720	880263	158768	514	8625489
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	196913	510033	1963578	496323	7297	2419703	3817	41626	5639290	232306	1430371	24484	3599	21661	149206	1257	1862884
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	2395926	1021891	21163309	3962752	4972	533334052	5023	52052	561939977	232988	19306390	229473	1724	934480	415790	895	21121740
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	1143201	341745	6347483	1220302	5762	421410838	6317	54019	430529667	77518	4757517	54063	2016	617939	800435	561	6310049
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	1525933	454270	12460857	4809200	4026	327670708	6035	56206	346987235	76660	10759603	99520	1789	783037	683998	565	12405172
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	1583888	340265	9111924	1384490	4959	39338147	4666	58267	51826606	71219	8057910	237858	4807	655842	42943	512	9071091
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	4452775	405351	37288716	6375489	5437	352798444	8087	64292	401398591	71147	34403949	358139	1574	587474	1823848	834	37246965
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	1372158	810488	8296443	3003850	4609	215029315	7155	68122	228592140	218776	7126922	87508	1694	726991	94653	496	8257040
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	612358	455858	4749388	1034902	5021	68794741	4621	10236	75667125	221624	3726702	53220	1771	670169	34281	600	4708367
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	1146190	14708	5326476	902376	3583	85265843	5893	61441	92726510	74759	4219441	102060	4415	835761	48915	577	5285928
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	1113772	453394	9452056	1656562	4754	48192711	4933	43696	60921878	219473	8290009	218760	4304	595111	92618	521	9420796
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	5101599	943526	38310129	5932232	5001	268879147	5479	55691	319232804	72162	35049103	497267	2191	587717	2027894	767	38237101
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	554995	816901	4930922	1407712	4179	79355115	4230	53554	87127608	195100	3754436	53900	1758	835193	51480	563	4892430
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	388621	1070183	3046585	894869	5018	43014334	3300	53038	48475948	77076	2378990	30802	1793	497211	18307	492	3004671
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	898076	348052	6517994	1683869	4755	201434276	3686	11321	210902029	218008	5425359	93630	1992	681755	40006	858	6461608
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	426550	303350	4352482	969094	4134	97799370	10506	62331	103927817	75967	3501893	45058	1635	575397	80286	1290	4281526
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	247580	7594	3005142	638884	4328	88806887	5265	11208	92726888	93184	2554021	34084	1480	261733	22740	688	2967930
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	300490	383355	3061723	1097522	4354	50668838	3591	45719	55565592	81770	2653670	44780	1695	217781	22086	577	3022359
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	348824	532359	4194467	1166734	4360	94769411	3632	9116	101028903	217909	3227623	67763	4565	359929	275590	763	4154142
00000000000000000194510013951da150a18a050fa922e070917da57d26117e	545640	335	743	168621	2826680	2331468	18980587	11548939	4288	787815337	5768	46222	823559289	218863	16745871	363922	2073	321913	1269738	670	18923050
0000000000000000002994f4f26d10a3db6a4efef7a28d439f432bce57608109	545641	91	159	31898	744885	800368	4887441	2235862	5139	87263879	4816	53432	95995822	219040	4218621	57530	1976	280771	70504	634	4849076
0000000000000000015b4e70e7ba0538a8d1afd75c2148264158fb11469f3d84	545642	122	391	79778	1201844	423288	8736372	5991187	4325	240351623	6159	50209	256765007	215856	7271818	172209	4190	639871	393461	581	8697986
00000000000000000031311723005c08a76bb32b2b1a67cd2d692b25ffdd7d6f	545643	1	1	186	93257	7101	684935	2499	6512	1046446	4040	59758	1904548	76157	465123	22762	4308	10271	23278	822	602721
00000000000000000111f24e2016d2b2717d91e90178f036218eb964b8b76525	545644	11	22	6069	134721	744199	1491184	777176	4282	9815540	8371	60116	13035589	231711	1074370	18502	2136	43517	88468	623	1459327
0000000000000000004d6408691688dc9bc860e325dc8dc8621346d1ecdf2cd6	545645	24	52	12475	237964	6793	2103137	1052243	4457	43363977	3412	7580	46779563	76148	1699291	24492	1958	110180	154444	673	2067186
000000000000000001804bd36850ea76a649fd3297666b2ca2b69a6034387c29	545646	50	151	27296	479072	1155515	3587201	2229753	4163	77150163	3390	44988	84654245	74700	2743530	83196	4530	569486	73956	577	3549975
0000000000000000009bd5dbfdfd09c9083941e9fe752d879db08b5635fcb8d9	545647	118	296	56722	1078658	489195	7625832	4653235	4480	199567963	4838	44124	213468325	219206	6627406	79886	1904	409427	246376	609	7584814
00000000000000000168e0f42c7230a172cb29d56fc89558921ee720f924e727	545648	92	197	120521	1470700	1057069	7890602	3748357	3864	2480501639	6126	57867	2494736224	74026	4400978	75890	1942	365326	2938418	606	7857186
0000000000000000001bf7324c7132372ed70ac67b6f017270e4152d66f59ec0	545649	20	31	6129	225619	729744	2194379	772090	4089	27762832	6759	59200	31754712	219057	1605830	62956	4090	172783	63683	1310	2129709
000000000000000000c624e5f567f2b6ca0098c3f2c120885e02b6b4fa2740d9	545650	116	302	63564	1081121	439845	9714202	2308395	11391	131108170	5340	44142	144712606	76860	8501241	108303	1775	551824	432978	869	9673850
000000000000000000a080479b45e4f4fc0c4a710b5d42254e17aa8199e01c4a	545651	63	109	23432	523371	418363	4135703	1029817	4337	87397124	4487	10198	93523400	75441	3228963	49120	1779	512154	221828	673	4089958
000000000000000000d96fcab9a1c70c6b0a4145223c1a1e0cf681d5b9998d9b	545652	271	538	111019	2329773	714141	12790928	4228308	5014	328205948	5386	9989	348289487	76977	11044799	205251	1660	655439	763067	648	12747841
0000000000000000010a779271ad83a574b4c0efc172f967467891a518b52b29	545653	155	242	51866	1896709	682064	12388288	1966082	4240	168563896	4847	54851	185560977	219133	11010975	100739	1644	615940	396827	742	12346000
0000000000000000009237625fc3366547b93d460f3d02ca682867d94c19e603	545654	224	414	86875	1872113	13981	12045634	2932484	4696	289795150	5385	49906	306719349	71178	10661550	146106	1564	555078	548677	642	11984795
000000000000000000905553eaf32483c1d591ad39d9ad7bfbf6bea465f76a6b	545655	180	285	59821	1407836	429995	12681037	2193199	4862	155642073	6867	20310	172386179	74915	11679390	161008	2323	557042	162373	789	12637840
0000000000000000012fe018d841d5464ab444c5a34ad5758e1c28323d02a62b	545656	17	86	14659	250158	12023	2244587	1037940	4243	19019034	4962	54905	22627852	73030	1582112	31012	1286	155566	368323	620	2211949
00000000000000000096518dfe03571e0d6708516fbffec71978ffc2ca759034	545657	7	9	1910	261416	579925	1741783	266452	4502	10144548	5037	59409	13063072	221040	1248463	21468	1745	26621	176751	476	1696564
000000000000000000e9afb539225eae47bfef72f0b649741b8495228f2368dd	545658	379	810	162694	2836737	8232	17233615	6879068	4035	471367220	5992	13758	498348657	70883	14674075	306387	1767	764647	1349129	687	17167575
000000000000000000f830323e7ad90ccaef89f4837de3be8c96e69407684f54	545659	119	252	77121	1254742	835645	7638983	2573435	4296	341834517	5762	52288	354199668	70648	6086374	94054	1665	586185	762315	724	7601965
000000000000000001b8ea25effd103fc87f263c81e535f2d783439a3351b1bd	545660	24	134	37011	491323	833192	4571950	3336706	4494	56332486	6598	22474	65599223	218204	3023349	31914	1680	348932	908830	547	4533456
000000000000000000416fbf24cabce0a839cfbd29f67d15f926f6adf43e4caa	545661	91	777	216479	2069624	397827	8231223	34822060	5535	218690143	6360	59685	264282457	74589	5293739	119383	1866	385036	2306409	772	8181794
0000000000000000017fa8e29923968a39a83ecae05af1edcba3020c5fd4925a	545662	40	75	15420	337301	384929	2300143	809402	5144	44141272	6532	52181	48036904	77953	1658294	36907	1702	469822	13609	653	2258940
000000000000000001aa1e303de7f494b298f31e6549e5faf93fbd21c443374a	545663	399	1029	206996	3271168	667261	16915071	9771522	5042	455282034	6590	57482	485976170	217769	13933664	268116	1982	588726	1869236	391	16879884
00000000000000000043382728dc9c6c582dfd60ea13693811ffb18d563ddd58	545664	2405	2849	615126	15636820	431599	98012511	16360954	7683	377040345	7534	61234	507558680	78677	89262624	1723840	3037	509510	6373834	374	97951896
00000000000000000077295792f03d2be966ffc7996eabd0a28b8bc9af6324c9	545665	238	502	93880	2451767	420513	10759937	5132128	4614	49506141	6469	66876	68348445	220270	8905352	207712	1712	537097	839320	710	10712173
000000000000000000b81ac79f29b956ddf26cd2227efa2acc6d87a6a9437213	545666	35	79	14479	392810	711010	3216241	894573	4265	30424052	7630	62169	35712750	75955	2518680	63367	1675	449847	60951	673	3171148
0000000000000000011f5c0523e7cd89fc6928c8b1ce18720c216ca5a0cbaa39	545667	13	23	7215	159031	8407	1657634	588793	4014	7232442	6064	54343	9710728	75469	1077192	27945	1899	121485	259558	1136	1564684
000000000000000001b698868fbc7041c375d120ae212b95ccfcd3221b086c3a	545668	6	10	1883	86923	505430	1441721	247339	6023	3634081	3948	45595	5971060	75909	1193392	25858	1919	34806	49396	276	1381556
0000000000000000005ace2295fcb28a7224fc197c5636829720feaa4f3ea797	545669	7	15	2873	133676	6906	1050006	412499	3788	8220152	3631	43356	9874014	76366	714678	35301	3655	64494	68756	1108	964358
00000000000000000019620da82499844ddd515c8dc98a1a5cf9d141d802b755	545670	95	222	44283	883261	421888	4146589	1872754	4444	98314506	3626	48061	105695129	73684	3298443	72010	2012	570520	89738	633	4107040
000000000000000000eac4f9f4e794daddbd1fc1128e6125e30c5e9b78cc839e	545671	4	203	36692	442917	450676	2525372	4138148	5048	18290329	6059	52189	25910738	219444	1455879	24754	1735	20499	770627	443	2493381
000000000000000001b7a767aca2e70a196a28f7327184e74125ca543e8847f6	545672	54	192	34346	684099	1173286	4389486	1929014	4828	46663423	5186	43047	54892369	83798	3422630	71414	2159	502132	268897	613	4351643
000000000000000000ba32bcea433ff2bab44fcd745c6ae9db8a1ea2fb1d763e	545673	1005	1069	240832	7257046	456085	32459409	6763321	4254	142817719	5243	18580	189781657	76804	28857301	632036	2025	493891	2360862	685	32423604
000000000000000000f2a38818abe3006f8f6973dcf2a497ed6809383a0f0937	545674	196	427	91153	2167038	948055	7589012	3782673	3863	235791867	6497	61676	250350681	236078	6018971	151963	2072	476196	670178	513	7555971
00000000000000000037f3c2eab0c128cea81e0ac70702fb3d74ec8787779961	545675	2690	2818	627741	18165881	1558920	105254028	15218298	5188	179523886	8390	17546	319752137	84857	96400681	1636748	3450	4663860	2399665	639	105189900
0000000000000000023c902aa2457dac7331e91e2670f5f7b6861090c292e257	545676	2247	2357	520933	14596953	12145	83179578	13187612	4793	162604494	8787	14673	273609035	80593	75641191	1499577	2460	607131	5279690	497	83111139
0000000000000000010c0cd0a734403a513de9714e74f18e1e58f2797cdb8c8a	545677	60	295	48100	891583	9262	3459825	2742526	5025	50543471	7976	63387	57723055	78385	2587375	85544	2066	386956	286910	501	3427737
000000000000000001c1362c5cf2c5755649939ddca0f910abf1dba3b858868f	545678	149	311	61644	1315574	424492	7227645	2861229	4744	177580792	6043	50870	189471389	76448	6129711	125936	1641	530515	294371	714	7159336
000000000000000000d242a1abc1f5fc0e960cad4ab7fcdda53b35458884b013	545679	69	103	22790	549218	7603	3399201	946119	4583	75681989	4481	44090	80637284	73948	2712690	51127	1136	486738	30146	699	3356484
00000000000000000144743c735e98fcc1531aa62b56242ae2ab9b298ae23445	545680	16	23	5143	158506	11617	1367577	280880	4021	13222503	5941	13455	15064500	75512	1074526	28316	2656	96440	46130	558	1324138
000000000000000000a4fcea042fdfd124cf745f37517afd3f22fe0fc975a26b	545681	41	205	34999	648729	1563583	2649207	2019192	3680	30590447	5595	56690	37537123	72810	1941681	43810	2223	292713	253164	654	2607055
0000000000000000019210553e104ed00469a896b09402032e03daee39541955	545682	15	19	4450	202343	398109	1273812	751120	4461	12145952	4439	42242	14822478	76348	1022227	20160	1579	85094	33364	596	1239368
00000000000000000219b11434af423099994743181f948168312c6ca1a05978	545683	6	12	2203	124989	438199	1123384	335673	4353	3220928	4381	47925	5299832	76517	909407	13738	1407	42540	47505	585	1091699
0000000000000000014e5b4c7b8eb10e734fed33b70e3dbc398a7e3852f1ee68	545684	31	45	9436	697817	16664	2165047	557164	4415	24519497	4262	41400	28006266	218099	1523511	35027	1843	317841	26997	593	2123911
0000000000000000010a5d0336b42a7e03a625ab660c874d4aa0a631183f19d6	545685	50	84	18559	444389	735675	2448002	785467	4704	40621055	3618	44976	45087886	73708	1834612	48586	1535	440665	15458	675	2415239
000000000000000001bdedb878c229bedec396a89b18c426d864dd175609e6e0	545686	5	6	1450	209014	417616	1729355	420950	9870	3817078	3764	46381	6654028	108650	1362920	29675	3531	31495	121134	1772	1659177
000000000000000001320b980c256b338d922c5dac2ba39d916a9c36048ee1f0	545687	59	122	25049	557055	12063	2393462	1074970	4399	53882560	3462	57816	57985787	76025	1779243	71806	1968	404357	22147	615	2356161
0000000000000000001a815ed52972c784329364bda567b2ddf180b68f6c9daa	545688	84	144	29916	617962	1093373	3876677	1203121	4412	107059254	5398	17892	113878089	68540	3180124	74324	2103	452653	57507	716	3835967
000000000000000000ceb5dd8b3cfdd3c57d8312eea4024bf0791c01b65c0b3c	545689	32	58	13673	301283	1450465	2077710	829364	4656	28182284	4547	48286	32898595	72595	1498402	68438	4227	369007	31177	582	2044428
000000000000000000a0a6f572d03687c11cc8997d5529ed15ca3dbb703f8c6b	545690	4	7	1319	63861	1186550	777651	192311	4314	2252650	4214	56943	4538494	73898	548333	19460	1465	21270	74955	818	740199
000000000000000001d3e127402a4fbf9d0d72df8d28b6e5153210338abb771b	545691	299	417	89118	1947722	6611	10071863	2956554	4703	196863589	4886	61296	211917224	69374	8620925	209011	1732	568033	562255	446	10031776
0000000000000000002ef592b59572bb94fda318e523b06302bdeaf7eb32f5ad	545692	7	8	1668	109091	345359	1183845	414428	9848	4858627	5092	50916	6977206	74610	896772	30568	3758	66315	43843	1201	1117067
000000000000000000d4c6a45d19368b82f9dc24b14e4e26e9c3a53d499ef685	545693	96	102	24229	685124	720361	5156305	1013818	4987	29312782	3734	10130	36907241	72735	4402389	76817	1393	495471	68087	648	5117540
000000000000000001432571c5f8c25e0300618cb70567a7eabc428a2c08edbe	545694	270	290	64478	1723267	381085	11365337	1753551	4333	61338397	3896	62949	76632815	74118	10246638	149827	1848	512410	346885	588	11332314
000000000000000000ff39b0e2a1b978c0f03e30464d5935d9159ebab7dfe965	545695	606	808	181282	4390657	468824	22317012	5283537	4635	389842228	6546	64601	422378040	217655	19378704	411880	2004	574065	1679459	1174	22264941
000000000000000001294bda33599c2ecc9301ce65ebe0a98127e056d9e08163	545696	1094	1152	283337	7409773	441608	30642216	6741139	5785	91404449	6886	60637	136712493	71529	26244878	724635	2610	491206	3056997	678	30592533
00000000000000000086a856e4743c340759f56e0feaeb56af0a5dbe1c70a6ef	545697	7460	7497	1681233	51934696	432146	427042081	37065098	7786	307875049	8609	13659	824379124	78045	396252308	9887870	5013	3491715	17248451	912	426964314
0000000000000000021a82589e60905d2281b003bf56e35138b2006555e04314	545698	2370	2386	535424	13731429	518575	75422297	13242578	6735	108844765	10228	62521	211839128	232412	66791318	1818297	4412	348567	6148627	762	75344395
000000000000000000dc7d2f29d7a69cd5211ff3fbd938ea25a355eef6b666fb	545699	12343	12443	2800162	80478040	550753	935472738	83555372	7577	439972337	8290	17311	1540062418	81647	893616208	9755415	5366	3498942	28436005	1198	935394781
00000000000000000101584bde73fad21f761a5ba94e838b9cd0604b87a9a3e9	545700	3	4	833	116105	10255	424115	193232	5089	39619833	10283	63515	40442427	81142	149806	42368	1949	13745	73209	678	362897
000000000000000001af9fa9e6fc5f8180cb79f223d7e054ea09793f8faa28f3	545701	432	1419	242538	4813267	532922	15815417	8140821	5848	34200307	7190	12223	63527995	90194	12624030	415411	2308	376760	2233227	785	15742715
000000000000000000413fc3017a2293d96ebaa43b608a697dc2bf1d6cc7b3cc	545702	3763	4060	900756	26244164	9812	156375183	21250691	7103	499749211	8876	65816	703710856	78115	143119988	2567722	3473	6659640	3890513	566	156320017
000000000000000000f8bcb8dafb90d5f29e523160f2cc5ba9d821fde9ddbb29	545703	1387	1611	346476	8200447	404375	42556322	10814404	5446	149842363	7511	59913	211890781	76041	37429266	1005047	2875	396381	3602085	723	42512418
0000000000000000001546823641b7851b4baed1b60e4e30ed10a2814ed83032	545704	70	224	49246	938868	17787	3847750	1979901	5611	58773424	5821	53534	65622696	85693	2866219	77247	1650	536899	226639	690	3795037
000000000000000001e5b1136e1a5f5612fbc903307e83d28db24de12ed7dbcf	545705	2164	2341	517382	14646659	8050	76636896	13325818	5855	198977671	8419	28111	303637479	74850	69009790	1382280	3093	4698548	1407279	700	76576540
00000000000000000205c670d48953c5e2bd306e5718e608f45c58d7ca2d2fe3	545706	440	528	111898	2847398	819655	13937303	4254968	4821	35045415	7108	53350	56970018	79686	12002178	374031	1523	1124265	309573	487	13891743
00000000000000000150d4da5653228c2d05cc0581c277a0a9927451ead29caa	545707	34	52	10488	308590	492926	1987228	583736	4863	29861417	7131	63028	33308919	77335	1464232	79081	2068	266866	53819	678	1944079
000000000000000000b64bd4075e2c1b57086453d2445667578741aff8954508	545708	667	785	172726	3891353	1213167	22394975	5061259	4519	118020321	7019	58793	150651406	70902	19693442	388476	1777	492721	1686872	754	22334944
000000000000000001fb0305ae2138723edb287e9b41e9fe57910deaba5d052a	545709	33	85	15444	354532	7386	3407223	739498	3910	23509028	4438	10108	28036123	73685	2755214	47565	1708	420217	69916	675	3368980
00000000000000000091e21e5a94e272fc5bf99b9f9a3934f3475c7a7c6efea7	545710	49	120	21997	503690	6625	3040590	1229876	5298	48481224	4043	23114	53294460	73614	2313924	82000	1918	518752	13244	499	3003951
0000000000000000016725a32cb53d26066b200ba92c8a8cc6f37281ac8e8fee	545711	449	1278	232680	4208582	8142	21494758	15997153	4448	449149613	7229	29962	490899887	71160	18428294	375589	1799	607226	1962622	717	21447407
00000000000000000047557260bb6e6441df297a2193542df8d43cc13d2e44a9	545712	140	203	41237	1017076	503556	4901332	2215209	5208	71250631	7253	61107	79961372	218833	3994512	116854	1896	363594	167547	738	4863974
000000000000000001674da0771ca2ea8fdb8beb5da64fec6682e3088dafd5ce	545713	87	165	34459	976754	7737	5907120	1419303	5084	76439771	5762	28538	84790069	86768	5088176	76235	1627	443377	163343	682	5860208
000000000000000000f99d6a5a6ff13f31fadacd8eacc72543b6026a8b6f5c03	545714	4	5	1014	79158	6739	839159	298055	5732	6131544	5908	46240	7412535	84018	615998	24791	1471	21881	33209	556	781924
0000000000000000002f323d57c71a1d8c0b0cdff6d4c152db715855c703b5eb	545715	158	223	41058	1216609	1288208	5079242	1706367	5104	32452566	5105	18217	41771418	70440	4206509	112882	1782	590306	58342	722	5040983
0000000000000000012bf6cccac9165e9d64abc7bd632a485721598789373c9b	545716	55	72	15713	392856	6914	2771290	750203	4800	50583007	5108	43792	54557970	74687	2133558	45211	1866	440775	38093	776	2734966
0000000000000000016f46d5d279c2895cbc79a013e4e4c889b91fdc08e4d54d	545717	134	216	46262	961625	368564	4379813	1682361	5064	73707304	5123	64113	81173967	69119	3536567	102420	1915	419170	202614	581	4332386
00000000000000000137f810720e63e4a4dfc14e9138a547b234313d2d5e5e2e	545718	1	1	197	35665	6619	184466	999	2390	735139	4548	8829	978655	83370	28882	7800	1571	5639	8640	299	136201
0000000000000000002b5a07455176691a555b6c8cd2cad148e3588894f216d7	545719	1899	1952	379472	11769880	359960	60561279	12694959	6413	173911355	7449	63287	259374582	76114	55226289	1192146	2289	2895159	1120328	740	60513065
000000000000000001c1726c83a2b3a0b86a969a2ea587d056fd2e69241f727b	545720	540	553	123486	3120036	9608	16269277	3178016	4681	51867417	6228	61220	74516483	72494	14228160	342999	1890	566391	1008479	881	16221294
000000000000000000378f35890b3637593bd96973642fe912cd2439a418ae25	545721	260	516	109024	1947931	7394	8805244	4371750	4501	252061839	6357	59429	267264445	71117	7029111	236749	1975	767883	660191	610	8767636
0000000000000000005d8fc9beec602d59dad84feba8523992f18cb80ba22bab	545722	516	521	117210	3393775	15533	13963817	3104629	5266	33418176	6551	11739	53919486	84924	12030309	285447	2049	1398258	121733	627	13923347
000000000000000001d964424ae3cb03f53e5d0ee94f54df1ac5201995c082d5	545723	569	779	178282	3961644	7572	15684734	5900495	4767	340243172	5883	63841	365872108	77893	12798199	464283	1829	459974	1826799	617	15629594
000000000000000001390c810286ad33ecf1089285dcaf74605e3af80ff0a7ab	545724	292	331	76824	1761496	1247928	8691631	2080433	4883	113976492	7066	54217	127824146	220737	7179838	248589	2178	613852	373980	440	8639614
00000000000000000184970560a9ccee3f57f7bb7903fe5310efb26a2061142e	545725	23	73	12605	248668	11462	1633101	1018003	5235	14678164	4939	11287	17610859	76381	1130904	75095	3741	243761	69027	660	1599569
000000000000000001afeee69d8bc83e8fdf0789187e26171bc6ef5aae0a43d3	545726	29	66	12532	284557	6825	2362249	663910	5119	22170762	4638	61073	25559133	76801	1883585	36019	1714	266711	66816	353	2331999
000000000000000001d55aa4aaf65e8089450e6c8aae2aacac60779456826eea	545727	47	128	23438	481854	6413	5239146	1223005	3837	41043888	4801	11323	48014267	76121	4276651	60861	1740	570379	214658	662	5201072
000000000000000000c8520453603315ae0f6497c98808734809be4a37fd10c8	545728	15	18	4760	144024	444767	1547392	501773	3984	13471227	8720	60419	16182306	76283	1147509	25259	1929	110397	100594	1267	1463238
0000000000000000013b623cb91a3910b9fec1b3fdaf9012269c369a5e358c89	545729	39	164	27990	532852	447649	3137217	1374098	4047	37910874	3786	43829	43454352	77823	2386789	44933	1758	532428	52941	556	3097228
0000000000000000007032586239b811d13b493ef3e25b8c629cb45cda336636	545730	144	190	42760	1112016	7468	4758608	1120420	4664	105244022	4268	59872	112311338	74930	3987719	116158	1842	510360	37177	715	4728901
000000000000000001a0c04848ac77a5ea372c9b2b617c0b777e5b576ab25175	545731	95	179	41686	944853	879561	3915840	2065448	4120	94536815	4890	60805	102412332	216349	2678835	95679	1750	508768	380029	673	3882083
0000000000000000011592c5e89984b763a3c9275547292ac2992e1055d081e8	545732	121	189	38820	854896	471939	6878518	1497507	5166	129074079	5505	43778	138831388	219463	5745738	109796	1988	720127	44302	495	6841909
000000000000000002131426ca415231d8189337d38079b71ffaa1d8da889498	545733	80	166	31566	839428	7822	5533126	1190164	4907	82827711	5269	61714	90470141	87584	4519785	60048	1277	703185	119379	727	5491985
000000000000000000f38ff50c7d40b9802631d853c94223f2dc72e0f817d0c0	545734	134	200	43267	1029193	464241	5640388	1596700	4035	118490581	4171	43835	127273144	219147	4707709	87240	1509	373066	209442	759	5598872
000000000000000000b3b9bb2ddd63488ed3652da10c80d8e94567f038b3b2f8	545735	207	586	123540	2139725	7156	7857475	7775495	4161	159669571	4912	13548	177472043	76312	6063093	158816	1810	518678	1001386	587	7820682
000000000000000000c1f119742198805fc6c793ceb6cc38929323977de1f28c	545736	19	26	5352	515698	770982	1676312	733123	9081	15930608	5271	61693	19702768	218568	1070588	51842	3858	245544	43574	684	1634658
00000000000000000199f1775673687b4e67608064b3fc850a72eb3225caed06	545737	60	123	23751	593901	803371	3329045	1030265	3651	54207052	4366	55463	60027114	78349	2616322	59543	1729	511092	31340	614	3298989
0000000000000000007792a63f1a4a56beb4ed100d653fdfa0653170827ae72c	545738	307	603	135192	2652763	7369	10851995	5161919	4754	255545778	4392	60709	274289679	75730	8801491	270891	2128	359782	1309381	807	10820210
000000000000000001ddb255881f01dcc437c0880939e0995e53e3e8cc00da3c	545739	516	578	128687	3926145	729403	13106706	4922028	5014	61058342	5051	57131	83809820	231035	10916640	317552	1859	409899	1183970	666	13061621
0000000000000000019cde21c8a398e1a93f2f3f6026b91be62dbb2e65428f07	545740	345	402	157813	2599542	7673	11851731	3664948	3950	106100792	5303	64423	124298362	69954	8091662	260623	1608	527653	2867545	655	11819700
000000000000000001010fe9fdb4cf92f1e0cd9ffc465c22b93a3677f21113cf	545741	762	1094	250475	5827401	459590	26399385	10392315	6216	347170116	6171	60139	390321333	74860	22791981	576211	2421	627312	2287483	488	26360756
000000000000000001209e16dc4103c2c9034ceb38da894332cbd2081f88ea2e	545742	12	32	5878	196896	441750	1222762	419054	4411	8087784	6851	55452	10434960	79958	944073	27330	1565	95457	40800	665	1189848
000000000000000000b7e6196029a24427c0ad3115f94b7d4a06fce7f3307417	545743	461	484	107088	2593536	6597	12004978	3080342	4676	33342987	4359	49119	51086594	69021	10210331	351957	2150	510152	828278	590	11972479
0000000000000000015507bf1cc53884d2411434819332ac6861192e636544f1	545744	4199	4335	971842	31680527	852783	180382296	26730619	6137	300252649	6756	69267	539981034	79472	166034509	3153078	3127	6958883	4081524	950	180311543
