block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	2942246	966900	7143414	299474	22231	1108956716	14046	16073	1120361100	234691	4284147	188652	4092	98098	2256739	1803	7068222
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	16138294	469588	88506755	2913050	6582	954799057	6930	55731	1062895987	75520	79719554	1536112	2841	156245	6953642	679	88444593
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	845784	1869488	2767320	203828	4392	139621902	5587	68744	145387045	76852	1870097	48929	1760	107501	601789	830	2707758
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	168150	434569	736003	15728	4014	2092520	3731	47674	3502389	77137	424417	73650	1537	11095	105511	578	693925
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	1815783	892840	4887984	374743	5943	479938765	5561	13085	487934704	81792	3410186	196098	2157	104147	1055053	687	4850120
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	1107682	345332	2684696	286432	5645	419804796	4438	61461	424300482	71133	1272202	65959	2579	97436	1117637	567	2627513
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	2049120	466866	4736182	186143	10556	309900347	4624	14675	317368513	220082	3115360	102668	2701	131018	1112938	620	4685387
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	1007480	587981	2302489	175463	5297	46587469	4783	57659	50728621	75340	1731610	92273	1915	79162	271693	467	2252460
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	4904423	456103	15520734	812792	6046	372497439	4835	14371	394216743	71368	12533454	507435	2469	122770	2239828	674	15477998
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	1147882	753598	2617793	173896	5372	190888392	4947	64544	195656424	74625	1690720	99041	1663	105252	598135	726	2570162
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	381455	430161	1003693	292018	5268	64602724	6500	60077	66781896	70279	595090	47674	2271	110049	138652	584	964599
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	485620	7399	1238102	149959	6117	83932695	4049	50643	85874584	70485	757911	46318	2082	107241	202708	594	1187339
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	998295	490384	3929518	248039	7239	43783652	3709	42327	49503163	220360	2880466	125035	1981	194081	467152	709	3889784
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	5112484	947817	15276863	799257	4503	233517622	6611	51097	255716254	233492	12649190	470103	2159	98266	1770747	538	15224495
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	483926	772215	2018253	85612	4800	81063873	7062	11920	84447661	230525	1356889	41129	1833	95748	251450	516	1978090
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	329768	1181796	1390991	97718	4990	37885632	5884	43949	40940728	218481	898999	31432	2237	73712	125822	651	1351334
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	894480	305460	1480244	122282	5517	185200819	5125	47553	188061480	70903	904983	72590	1590	103042	288561	640	1442309
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	427356	310795	2089963	125438	5168	76298516	4396	9798	79271430	219015	1516538	44026	1780	100438	167920	573	2050290
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	284863	14223	890828	88549	4454	31909206	3924	9247	33205294	81785	611806	25922	1831	77280	50747	748	850119
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	279099	377391	1383973	130867	5181	39884982	3354	46812	42111659	85699	1060397	33216	1806	89160	82122	654	1353054
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	390878	466332	1243826	112527	4443	76196471	3647	8792	78426916	221389	722208	34264	1584	71095	144895	649	1196084
