block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	2812732	998713	46024259	8860844	9903	1370060489	13695	44641	1428825276	251219	42471817	384897	7495	1167140	1654079	1722	45938369
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	15432115	574267	198932697	17346997	6421	1121930755	7867	18661	1354249780	160856	190236026	1679509	3541	544049	6235787	1125	198860893
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	836597	1876758	9477113	3610646	4822	138668263	7537	17716	154499452	84749	8237737	133042	4451	469399	491763	707	9421848
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	164502	444946	591411	208117	3755	2156034	6891	71020	3646676	91481	365537	11548	1325	12615	66594	549	549649
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	1954963	871975	24192884	3747795	4957	512121279	6197	64093	542964143	78854	22531392	304860	1781	777105	425480	626	24120098
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	1013636	336699	8122488	1385921	4696	418858450	5082	20818	429747790	83159	6338288	110981	3992	559622	985136	626	8081804
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	1332355	512389	13675226	4325141	4088	300753844	6302	21352	320630697	243951	11522285	210383	3737	795971	854340	864	13631531
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	1070025	346476	11507532	1065369	5002	42947474	4753	21014	56967645	78823	10450750	126222	1573	453859	339409	823	11451459
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	4598164	438697	42666875	6702457	4466	387072585	5349	19781	441508374	220191	38850795	852677	4308	1562149	1121227	644	42611991
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	994148	830837	11096457	3080594	4764	226146799	6691	58291	242218581	138183	9877907	93573	1589	754705	174966	857	11041780
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	1034482	443549	4158278	1140005	4996	63286186	5890	67144	70140530	76469	3440345	64703	1512	503994	33774	624	4121421
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	575459	14747	6136986	1651542	4343	85766777	3790	48684	94202328	77853	4921199	95932	3830	893678	99853	610	6092955
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	1468740	431573	11085350	1411445	5089	114334402	5678	12804	128755081	220206	9632522	209404	3795	949859	28535	700	11045021
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	5829613	880023	48137428	10609331	5040	287686597	5956	67492	353221480	221005	45435242	482964	2205	1438326	493144	607	48073493
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	588054	695984	7335328	1294138	4828	175890302	4878	64699	185878211	79746	6232769	51616	1891	771267	142796	765	7280850
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	603763	5137778	9083162	964695	5676	113013126	3876	47022	128859098	216509	8288208	61200	1563	416031	53593	605	9037709
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	852157	360502	9258882	2106042	4789	195194052	4758	10153	207791335	77652	8098825	77462	1495	814976	146897	583	9217890
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	590521	300623	5454862	1194290	4461	90008482	3826	43359	97600424	222381	4388821	98487	4092	668277	34919	624	5417601
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	573733	7794	2365327	540026	4894	34765838	3856	10892	38272360	72690	1811831	33198	1686	385873	22598	608	2328484
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	326573	1989203	4734424	1270118	5418	45505144	3669	44893	53879442	119046	4111077	33281	1762	406372	20712	679	4692929
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	342375	465655	3921832	938018	5148	89642910	6615	32284	95354837	77601	3203964	39369	2070	535069	24368	670	3883111
00000000000000000194510013951da150a18a050fa922e070917da57d26117e	545640	335	743	168621	3179387	2445852	23647401	6460051	7585	588389817	5773	15924	624151790	71538	20716480	534463	4178	757970	1528488	603	23613720
0000000000000000002994f4f26d10a3db6a4efef7a28d439f432bce57608109	545641	91	159	31898	1329017	759047	11412492	1304392	5063	79228619	4698	53084	94096412	222003	10162260	73418	1826	845422	66270	883	11372082
0000000000000000015b4e70e7ba0538a8d1afd75c2148264158fb11469f3d84	545642	122	391	79778	1910805	413550	11450606	4435276	5158	211523447	5446	54513	229798801	221470	9636056	103642	1567	975074	474674	685	11413168
00000000000000000031311723005c08a76bb32b2b1a67cd2d692b25ffdd7d6f	545643	1	1	186	51002	7559	539791	1089	2761	1265374	4446	52215	1924237	79359	391174	8964	1353	4969	9798	372	495989
00000000000000000111f24e2016d2b2717d91e90178f036218eb964b8b76525	545644	11	22	6069	139874	649645	2076905	827147	4615	10243891	10136	66668	14018881	69945	1660676	50168	3164	251657	8366	785	2044761
0000000000000000004d6408691688dc9bc860e325dc8dc8621346d1ecdf2cd6	545645	24	52	12475	618867	6936	2198053	1171815	4961	46074852	4454	8940	50088878	70689	1849994	34327	1554	165834	31724	744	2154866
000000000000000001804bd36850ea76a649fd3297666b2ca2b69a6034387c29	545646	50	151	27296	845670	1258710	5159870	2083988	4412	68125180	5448	61820	77545098	124978	3811999	92209	3819	920226	86145	1532	5040908
0000000000000000009bd5dbfdfd09c9083941e9fe752d879db08b5635fcb8d9	545647	118	296	56722	1255199	433906	8699477	3031051	4722	189829870	6148	63506	203323879	72005	7548506	109250	2735	533395	393284	750	8659925
00000000000000000168e0f42c7230a172cb29d56fc89558921ee720f924e727	545648	92	197	120521	1666045	1033153	10326373	2697371	4277	2471445687	5489	60073	2487238468	78749	6602855	151504	3849	624367	2830129	811	10292264
0000000000000000001bf7324c7132372ed70ac67b6f017270e4152d66f59ec0	545649	20	31	6129	191234	694728	1812702	534457	4167	27833958	4381	53391	31129018	130907	1460488	36731	1497	99082	46420	626	1775751
000000000000000000c624e5f567f2b6ca0098c3f2c120885e02b6b4fa2740d9	545650	116	302	63564	1446706	1086352	21601560	2780882	5675	179502145	7689	62947	206493956	222711	20217807	68656	1232	655431	388289	642	21554768
