block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	6080476	80760	11726435	405361	17271	3876841961	19073	51575	3895222912	207854	7097754	313717	8726	183931	3812770	3730	11628482
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	30971993	30629	99797338	2871375	7711	1278835658	12408	58632	1412585744	127683	89185709	2361236	4320	132343	7894223	767	99706281
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	1906352	16414031	4096570	179128	13066	298417043	17036	49371	321092597	168622	2500572	100975	3510	184335	1024236	1353	3983603
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	175781	30224	4378366	49876	13344	5606887	13604	56253	10324335	189171	3894968	26654	11460	17397	134961	1257	4275868
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	4207798	3935981	8555013	474982	10240	1289809978	13558	36403	1307043953	270152	5723248	255836	3953	193562	1985177	1117	8433045
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	2352520	31671	4977978	245718	13074	292443668	11171	23453	300099253	207008	1562037	99181	2887	179875	2825339	1743	4878070
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	3100237	39750	14289484	298633	15964	413760826	14045	54015	431572954	195745	11492549	169996	4046	175088	2084532	1110	14123066
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	2391732	32027	5016608	422366	13332	30741691	13017	49937	38680710	190122	3615256	185761	3174	241579	651208	1897	4888997
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	10845233	32941	25227854	632676	7894	536043633	14830	57336	572862397	188525	21495393	457964	3530	150728	2851143	606	25147889
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	2495578	3746580	4972361	251922	14500	299360117	15218	28777	310885053	199352	3162988	151125	5197	183851	1158994	1227	4862734
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	861968	32014	1994468	229358	12120	80901588	14466	56694	84102676	193809	1091723	86957	4036	176022	328523	1537	1882607
