block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
00000000000000000111f24e2016d2b2717d91e90178f036218eb964b8b76525	545644	11	22	6069	286174	1908493	4961608	1735283	13019	22187316	13279	69577	31174749	137637	4390859	60275	4779	106409	163372	1264	4864595
0000000000000000004d6408691688dc9bc860e325dc8dc8621346d1ecdf2cd6	545645	24	52	12475	516598	15261	5721751	2557802	12928	90970771	12220	22354	99829685	128450	5239032	46640	4189	152251	68895	1207	5640664
000000000000000001804bd36850ea76a649fd3297666b2ca2b69a6034387c29	545646	50	151	27296	1110794	4413431	8200065	5590327	13953	137731843	11243	23376	157095032	141226	7401733	93728	5116	365476	86863	1410	8095552
0000000000000000009bd5dbfdfd09c9083941e9fe752d879db08b5635fcb8d9	545647	118	296	56722	2426096	565239	10693894	9174904	14171	157730911	11905	23333	180640453	140261	9452734	141438	6581	524809	321886	1336	10589045
00000000000000000168e0f42c7230a172cb29d56fc89558921ee720f924e727	545648	92	197	120521	1759143	1183635	16344036	7799111	14624	1927839674	16624	75725	1955032572	93161	7716404	131269	5527	623374	7665234	2506	16237475
0000000000000000001bf7324c7132372ed70ac67b6f017270e4152d66f59ec0	545649	20	31	6129	405592	770039	2513658	1194988	10124	22802438	14523	29014	27740376	136385	2091604	54601	4694	111232	33486	1160	2433162
000000000000000000c624e5f567f2b6ca0098c3f2c120885e02b6b4fa2740d9	545650	116	302	63564	2420417	549124	17643156	9190191	16170	104536212	14303	27208	134396781	133089	16365281	120051	4141	734989	171421	1139	17530111
000000000000000000a080479b45e4f4fc0c4a710b5d42254e17aa8199e01c4a	545651	63	109	23432	1122357	503545	6634012	3059710	14638	67405236	16664	74480	78830642	136181	5485572	93639	5178	332850	465205	1243	6519868
000000000000000000d96fcab9a1c70c6b0a4145223c1a1e0cf681d5b9998d9b	545652	271	538	111019	2406613	799249	18748896	16786461	15375	248136565	15915	72438	286981512	94213	17068684	274798	5591	1065737	130025	1205	18640253
0000000000000000010a779271ad83a574b4c0efc172f967467891a518b52b29	545653	155	242	51866	2580095	786242	11299501	6417393	15015	132627907	18665	29375	153774193	140961	10142608	165662	5294	661103	86222	1303	11203153
