block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	2501559	829096	7082869	729821	8662	1113677902	14191	16847	1124860947	235341	4369055	204746	4825	939295	1258568	2281	7014111
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	16915714	473886	73823854	7381448	5470	1123106974	7507	62553	1221777406	223282	64231029	1640170	3250	550509	7099336	445	73748021
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	881607	1862037	2727246	293248	5845	140005331	7718	61920	145844952	73762	1870340	63734	2271	339827	315349	721	2666004
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	156654	492187	1377352	17352	4498	2242882	6113	45816	4342854	218067	946242	21708	3166	23065	118582	842	1331672
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	1742275	923846	5140869	782666	4988	476063677	5536	43542	484707399	219322	3563709	174175	2061	807533	308994	695	5076489
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	1096610	336732	2920311	334655	5193	427186793	5956	54611	431940861	79968	1269464	85393	1934	316243	1118367	955	2872324
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	1437792	420913	4959012	485207	5094	337249255	5770	56418	344619461	76607	3259982	95735	1849	397213	1083149	857	4915392
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	1229487	357495	3918063	506913	6283	42463970	5224	12949	48500384	218721	2912483	126375	2043	411810	198754	585	3870771
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	4742278	457453	15890598	1934195	4747	333832210	7411	11996	356880888	213071	12865223	467864	2209	1596576	700024	429	15845396
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	1288257	811082	2781057	426498	5099	192468573	5936	13203	197799705	70868	1842848	90218	2140	566041	156822	673	2729610
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	506396	432676	1288377	1410166	5166	61240281	6816	14141	64904019	80021	806115	47040	1682	257045	51019	579	1243501
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	523531	12034	2009449	321678	5275	84848123	4806	58148	87783044	74661	925724	52516	1872	319812	584496	1011	1960092
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	1130217	461304	3181807	583525	4817	42144297	3949	62126	47572042	220571	2148372	117279	1636	460927	186102	652	3135539
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	5958566	1012114	23141135	2409948	4449	269623650	6494	59105	302215461	222007	19718418	625086	2700	328877	2187450	550	23085088
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	521339	776859	2220401	447948	5371	78941947	5653	55728	82975246	71000	1655917	58218	2424	294994	98579	674	2181806
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	309634	1216228	2035280	289264	5124	41256723	5914	11252	45129419	222570	1432570	38450	2312	159890	131694	966	1988452
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	1026521	401964	2623149	720601	5351	186348038	6138	61753	191193515	221916	1684494	81778	1867	540025	52989	315	2583384
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	455308	307645	1389997	904060	5421	78194250	5739	58019	81320439	72180	876930	57645	1775	278212	55835	763	1343340
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	260973	13905	1557149	260852	6046	34159561	4993	46736	36310215	77342	1079699	32013	1589	150183	179777	975	1521578
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	335248	343224	2048365	301300	3136	45162603	3878	10948	48208702	88502	1654362	45716	1631	184938	26339	744	2002232
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	631736	470546	1826846	556185	5255	83853716	5000	47555	87396839	219889	1195058	40200	2237	210922	107834	587	1776727
00000000000000000194510013951da150a18a050fa922e070917da57d26117e	545640	335	743	168621	2647336	1248159	7025817	1212719	5260	562710611	6744	47901	574904547	219216	4463583	265780	2139	460137	1563580	664	6975099
0000000000000000002994f4f26d10a3db6a4efef7a28d439f432bce57608109	545641	91	159	31898	731507	803620	1704350	216572	4039	77547088	5639	53398	81066213	114094	1143131	67564	2180	254752	83576	681	1665978
0000000000000000015b4e70e7ba0538a8d1afd75c2148264158fb11469f3d84	545642	122	391	79778	1207631	417713	3313411	524758	5029	226268574	6012	50765	231793893	219664	2113200	82093	1725	468953	389138	601	3275374
00000000000000000031311723005c08a76bb32b2b1a67cd2d692b25ffdd7d6f	545643	1	1	186	42703	6786	240857	990	2383	706911	5340	8574	1014544	76296	111528	7992	1588	3376	8282	283	209345
00000000000000000111f24e2016d2b2717d91e90178f036218eb964b8b76525	545644	11	22	6069	194790	742075	596136	102186	4682	8077521	3365	8636	9729391	102720	233238	24917	2449	98862	98889	465	561540
0000000000000000004d6408691688dc9bc860e325dc8dc8621346d1ecdf2cd6	545645	24	52	12475	288265	6488	1672652	226600	3032	38502402	3422	42877	40745738	76453	1363531	24380	1497	106143	65056	626	1637686
000000000000000001804bd36850ea76a649fd3297666b2ca2b69a6034387c29	545646	50	151	27296	514195	1244173	1685758	178882	4902	72814929	3548	47195	76493582	232424	1051854	38918	1493	243947	74527	633	1643796
