block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	2476734	848701	6467349	620157	8897	1259474539	14339	15848	1269926564	229937	4074900	160042	3322	740724	1202304	2055	6413284
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	16696950	552228	77476569	7329863	7915	1117324937	6908	58490	1219453860	222134	68824922	1892936	2885	466282	6001769	448	77411376
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	1522991	2131402	3929051	336782	5931	138207807	8660	63772	146206396	219484	2487822	62319	2101	402265	709448	697	3884136
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	133536	424476	1058753	21171	3821	2188249	5015	44944	3879965	77354	813627	32567	1800	31479	66118	795	1023740
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	1673656	929375	5973432	770005	6995	513172457	6809	61889	522594618	219164	4354625	162576	1926	807211	365703	709	5911914
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	894702	325487	2914831	409393	4358	391224578	7227	9842	395790418	70563	1513364	57128	1413	410502	821700	650	2875320
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	1245347	522925	5169310	383455	5541	296764706	5798	60390	304157472	216026	3491823	95533	1833	446366	880430	417	5132428
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	942401	382768	3830003	575214	4307	36528053	5045	54599	42322390	69703	3035925	128372	1951	381856	162512	927	3781246
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	4319940	478846	11547056	1551436	4340	391230188	6284	45568	409183658	219513	9193625	398975	1821	237900	1449229	557	11501620
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	966895	849180	2332154	305535	4609	224000679	5438	52488	228516978	218219	1459325	69802	1735	234236	308154	637	2292108
