block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	6363806	77120	14923299	782234	18044	3665102250	24381	54927	3687346061	207229	9656507	281519	7997	334026	4299974	3533	14790785
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	27793347	31615	101219230	5137395	9325	1196871508	15322	58103	1331135845	109126	91140586	1426711	4989	323457	8114417	985	101120271
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	1800724	15166427	8289654	373787	9790	290294337	18068	63314	316016101	192381	6709217	85651	4153	420580	759314	1176	8172472
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	227032	32320	2940904	71288	10936	4993833	6920	50350	8333583	192945	2396512	89038	3393	27311	131501	1317	2842017
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	4367654	4161932	7242734	887362	12933	1288328106	15887	55864	1305072472	263472	4649635	225408	4327	1413933	603995	1470	7162240
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	2458046	33658	4066391	450037	12820	305225480	16247	34324	312297003	193848	1227181	96358	3573	547632	1887871	1604	3958067
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	3178983	39303	9698001	3014525	13637	422540098	17027	29857	438531431	196968	6681762	148352	3627	475941	2069369	1840	9577859
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	2274922	40077	4757561	627365	14648	31861193	12776	61321	39649863	197775	3280005	205648	4397	651826	290159	1116	4630926
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	10183625	32810	25739335	1418196	8654	537511323	12757	62804	574969504	193068	22105429	397877	3830	1535323	1417014	975	25653516
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	2494941	3719464	4077898	967715	10931	305931333	16577	60104	317278963	210346	2381026	141878	3786	888502	340909	1044	3967491
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	960732	34010	1799900	1273471	12047	84500217	13593	50187	88644157	195392	839481	77950	3680	435268	143528	1444	1696743
