block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	6136484	74781	16441973	763710	12966	3671827976	20651	60330	3695338871	207488	11328777	334857	9040	538436	3865988	3900	16288486
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	27287391	29367	92426685	5158001	6906	1180137385	13207	58543	1305117485	107180	82239504	1479130	3214	315910	8190627	612	92336177
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	1770416	17722741	10899460	396167	11327	300222407	12829	58412	331093759	195178	9211615	93881	4900	588923	686131	1293	10781921
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	195315	31560	4601202	48531	10827	5619997	9183	61731	10578346	189928	4077154	58507	39191	28133	107538	1313	4501764
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	4200108	5108358	8286768	840943	13920	1274941726	13958	66293	1293472074	196725	5831959	261496	5013	512722	1375398	1187	8184500
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	2380856	31740	4522315	2576241	13670	299045443	14054	57934	308642253	188848	1640212	96087	4290	443935	2034052	1633	4409057
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	3327305	29437	14796320	1371235	10614	409898595	15530	34774	429483810	188552	11799656	158098	4170	560916	1976058	1543	14688993
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	2337232	35703	5309044	671947	13947	31165624	10283	58755	39602535	190639	3530915	176048	3764	894675	390974	1480	5188495
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	10549743	28934	25904179	1445113	9461	532500709	15260	34370	570487769	188972	22523704	356559	2972	254128	2504546	856	25831737
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	2496952	3668095	5051891	873032	14357	292550127	16546	63568	304734568	190112	3198794	162966	4273	564333	816619	1413	4938510
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	899535	34768	2591803	418645	12830	81621915	10027	25713	85615236	191795	1577570	80074	4250	459012	139365	1320	2453386
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	1125272	17100	3000429	394534	12280	112872346	12517	55264	117489742	188558	1551081	92294	3553	502005	569046	1284	2907821
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	2418629	35460	6883920	1732279	11953	19392305	8450	53389	30536385	194845	4335056	208306	3547	536892	1468369	1470	6748485
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	12232566	4600562	38843454	2021962	15280	214944389	13071	61047	272732331	192055	34360913	581102	3942	473688	3161490	874	38774064
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	1170745	8871904	3954526	362370	11574	89689476	13891	26200	104100686	195906	1757939	78621	3640	375650	1454135	1407	3867298
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	694639	6040184	2576584	385478	11416	53197609	13196	25957	62945063	188919	1539047	62857	3997	322250	318380	1466	2436916
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	2111199	32346	4126998	893466	10734	195813144	13417	57683	203058987	188225	2699142	124155	3993	359077	656581	1476	4032649
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	1019811	30851	2740725	337740	9620	69994024	12157	23024	74167952	192369	1279810	77301	3356	391638	690108	1483	2636065
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	396495	24965	5513667	327510	9934	29784032	12661	55598	36124862	170421	4832415	54636	3831	225619	113768	1333	5402023
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	718488	31836	5579750	2603867	13787	37253799	12927	52151	46266605	188796	4819344	72361	3977	290723	91024	1210	5467435
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	879091	31050	2977555	385467	13994	70626031	14013	48983	74976184	187629	2006047	65965	3953	324104	275025	1547	2864270
00000000000000000194510013951da150a18a050fa922e070917da57d26117e	545640	335	743	168621	6876681	8806267	12689269	759572	7498	333210535	15046	30744	362395612	194662	8456117	391534	3777	2571780	969107	950	12587927
0000000000000000002994f4f26d10a3db6a4efef7a28d439f432bce57608109	545641	91	159	31898	1667361	2881160	4006570	1434788	11837	51882341	9911	55286	61949254	194036	2192054	115077	3540	579603	780525	1570	3866405
0000000000000000015b4e70e7ba0538a8d1afd75c2148264158fb11469f3d84	545642	122	391	79778	2966871	32704	6589906	2226198	12750	153269626	13090	55933	165167078	193969	3913178	175312	4683	563003	1616490	1160	6467795
00000000000000000031311723005c08a76bb32b2b1a67cd2d692b25ffdd7d6f	545643	1	1	186	106624	18108	384377	3354	7840	2007287	10180	52825	2590595	188335	37557	21190	4343	12717	21401	797	286340
00000000000000000111f24e2016d2b2717d91e90178f036218eb964b8b76525	545644	11	22	6069	355246	43676	4899903	214679	11410	6958857	9534	39680	12532985	190212	4200439	47041	5203	143964	220443	1487	4808789
0000000000000000004d6408691688dc9bc860e325dc8dc8621346d1ecdf2cd6	545645	24	52	12475	583054	17587	1619750	1190473	11473	13135569	9560	22928	16590394	191608	798872	60244	3410	260606	195992	1474	1512206
000000000000000001804bd36850ea76a649fd3297666b2ca2b69a6034387c29	545646	50	151	27296	1167282	13924561	3659989	407884	9660	46531892	9193	54557	65765018	193446	1763112	84778	3760	433074	1056938	1797	3536905
0000000000000000009bd5dbfdfd09c9083941e9fe752d879db08b5635fcb8d9	545647	118	296	56722	2472909	2697123	8784646	547913	12180	97600277	10087	58214	112183349	188229	6797425	115251	2244	429589	1148484	1727	8682949
00000000000000000168e0f42c7230a172cb29d56fc89558921ee720f924e727	545648	92	197	120521	3656683	8276221	9555079	3499150	9554	659299673	14595	30116	684341071	226000	2438910	124638	3337	512735	6164223	1193	9471036
0000000000000000001bf7324c7132372ed70ac67b6f017270e4152d66f59ec0	545649	20	31	6129	440298	4865342	9634139	286119	12057	10722417	10100	23511	25993983	193402	8976125	60221	4034	218548	41747	1510	9495587
000000000000000000c624e5f567f2b6ca0098c3f2c120885e02b6b4fa2740d9	545650	116	302	63564	2525669	32590	10341500	520851	8072	37226028	8557	19975	50683242	206345	8664243	127421	3687	590556	649564	1050	10242866
000000000000000000a080479b45e4f4fc0c4a710b5d42254e17aa8199e01c4a	545651	63	109	23432	1254904	42428	7017040	353330	12304	14101073	12529	24289	22817897	187342	5318546	93804	4403	498540	799218	1496	6903349
000000000000000000d96fcab9a1c70c6b0a4145223c1a1e0cf681d5b9998d9b	545652	271	538	111019	5254050	3980012	9833764	1140989	12074	74862897	11366	51000	95146152	197085	6823899	318294	4660	389137	2009713	1034	9743822
0000000000000000010a779271ad83a574b4c0efc172f967467891a518b52b29	545653	155	242	51866	2783772	42836	5159496	1609461	11240	47810287	12786	45885	57475763	188452	3421617	177052	3850	494918	755342	1280	5042511
0000000000000000009237625fc3366547b93d460f3d02ca682867d94c19e603	545654	224	414	86875	4281756	17860	7814103	987844	12086	56549046	9942	61544	69734181	190649	5275742	280637	3796	406184	1552217	1100	7710325
000000000000000000905553eaf32483c1d591ad39d9ad7bfbf6bea465f76a6b	545655	180	285	59821	3054786	40887	5900422	2210421	12727	44092955	9110	55337	55376645	194419	4014698	267283	4097	441475	898123	1217	5821312
